Las Am?icas International,Large airport,Santo Domingo,Dominican Republic,SDQ,MDSD,
Seve Ballesteros-Santander,Medium airport,Santander,Spain,SDR,LEXJ,
Sado,Medium airport,Sado,Japan,SDS,RJSD,
Saidu Sharif,Medium airport,Saidu Sharif,Pakistan,SDT,OPSS,
Santos Dumont,Medium airport,Rio De Janeiro,Brazil,SDU,SBRJ,
Sde Dov,Medium airport,Tel Aviv,Israel,SDV,LLSD,
Sandwip잺losed,Closed,Sandwip,Bangladesh,SDW,,
Sedona,Small airport,Sedona,United States,SDX,KSEZ,SEZ
Sidney - Richland Regional,Medium airport,Sidney,United States,SDY,KSDY,SDY
Seattle Tacoma International,Large airport,Seattle,United States,SEA,KSEA,SEA
Sabha,Medium airport,Sabha,Libya,SEB,HLLS,
Serre Chevalier잺losed,Closed,Serre Chevalier,France,SEC,,
Sebring Regional,Small airport,Sebring,United States,SEF,KSEF,SEF
Penn Valley,Small airport,Selinsgrove,United States,SEG,KSEG,SEG
Senggeh,Small airport,Senggeh,Indonesia,SEH,WAJS,
Senhor Do Bonfim잺losed,Closed,Senhor Do Bonfim,Brazil,SEI,,
Seydisfjordur잺losed,Closed,Seydisfjordur,Iceland,SEJ,,
Srednekolymsk,Medium airport,Srednekolymsk,Russia,SEK,UESK,
Craig Field,Small airport,Selma,United States,SEM,KSEM,SEM
Southend,Medium airport,Southend,United Kingdom,SEN,EGMC,
Seguela,Small airport,Seguela,C?e d'Ivoire,SEO,DISG,
Stephenville Clark Regional,Small airport,Stephenville,United States,SEP,KSEP,SEP
Sungai Pakning Bengkalis,Small airport,Bengkalis-Sumatra Island,Indonesia,SEQ,WIBS,
Freeman Municipal,Small airport,Seymour,United States,SER,KSER,SER
Selfield잺losed,Closed,Selma,United States,SES,,
San Esteban잺losed,Closed,San Esteban,Honduras,SET,,
Seronera,Small airport,Seronera,Tanzania,SEU,HTSN,
Sievierodonetsk,Small airport,Sievierodonetsk,Ukraine,SEV,UKCS,
Siwa Oasis North,Small airport,Siwa,Egypt,SEW,HE24,
Sembach Air Base잺losed,Closed,Sembach,Germany,SEX,ETAS,
S?ibaby,Small airport,S?ibaby,Mauritania,SEY,GQNS,
Seychelles International,Medium airport,Mahe Island,Seychelles,SEZ,FSIA,
Sfax Thyna International,Medium airport,Sfax,Tunisia,SFA,DTTX,
Orlando Sanford International,Large airport,Orlando,United States,SFB,KSFB,SFB
St-Fran?is,Small airport,St-Fran?is,Guadeloupe,SFC,TFFC,
San Fernando De Apure,Medium airport,Inglaterra,Venezuela,SFD,SVSR,
San Fernando,Medium airport,,Philippines,SFE,RPUS,
Felts Field,Medium airport,Spokane,United States,SFF,KSFF,SFF
L'Esp?ance,Medium airport,Grand Case,Saint Martin,SFG,TFFG,
San Felipe International,Small airport,Mexicali,Mexico,SFH,MMSF,
Safi,Small airport,Safi,Morocco,SFI,GMMS,
Kangerlussuaq,Medium airport,Kangerlussuaq,Greenland,SFJ,BGSF,
S? Filipe,Small airport,S? Filipe,Cape Verde,SFL,GVSF,
Sanford Seacoast Regional,Small airport,Sanford,United States,SFM,KSFM,SFM
Sauce Viejo,Medium airport,Santa Fe,Argentina,SFN,SAAV,
San Francisco International,Large airport,San Francisco,United States,SFO,KSFO,SFO
Surfers Paradise잺losed,Closed,Surfers Paradise,Australia,SFP,,
?anl?urfa,Medium airport,?anl?urfa,Turkey,SFQ,LTCH,
San Fernando잺losed,Closed,Los Angeles,United States,SFR,,
Subic Bay International,Medium airport,Olongapo City,Philippines,SFS,RPLB,
Skellefte?Medium airport,Skellefte?Sweden,SFT,ESNS,,,
Safia,Small airport,Safia,Papua New Guinea,SFU,AYSF,
Santa Fe Do Sul잺losed,Closed,Santa Fe Do Sul,Brazil,SFV,,
Santa Fe잺losed,Closed,Santa Fe,Panama,SFW,,
Macagua,Small airport,Ciudad Guayana,Venezuela,SFX,SVMU,
North Central State,Small airport,Pawtucket,United States,SFZ,KSFZ,SFZ
Sheghnan,Small airport,Sheghnan,Afghanistan,SGA,OASN,
Singaua잺losed,Closed,Singaua,Papua New Guinea,SGB,,
Surgut,Medium airport,Surgut,Russia,SGC,USRR,
S?derborg,Medium airport,S?derborg,Denmark,SGD,EKSB,
Siegerland,Medium airport,,Germany,SGE,EDGS,
Springfield Branson National,Large airport,Springfield,United States,SGF,KSGF,SGF
Simanggang잺losed,Closed,Sri Aman,Malaysia,SGG,WBGY,
Springfield-Beckley Municipal,Medium airport,Springfield,United States,SGH,KSGH,SGH
Mushaf Air Base,Medium airport,Sargodha,Pakistan,SGI,OPSR,
Sagarai잺losed,Closed,Sagarai,Papua New Guinea,SGJ,,
Sengapi Airstrip,Small airport,Sengapi,Papua New Guinea,SGK,AYSK,
Danilo Atienza Air Base,Small airport,Cavite City,Philippines,SGL,RPLS,
San Ignacio,Small airport,San Ignacio,Mexico,SGM,,
Tan Son Nhat International,Large airport,Ho Chi Minh City,Vietnam,SGN,VVTS,
St George,Small airport,,Australia,SGO,YSGE,
Shay Gap,Small airport,Shay Gap,Australia,SGP,YSHG,
Sanggata/Sangkimah,Small airport,Sanggata/Sangkimah,Indonesia,SGQ,WALA,
Sugar Land Regional,Medium airport,Houston,United States,SGR,KSGR,SGR
Sanga Sanga,Medium airport,,Philippines,SGS,RPMN,
Stuttgart Municipal / Carl Humphrey Field,Small airport,Stuttgart,United States,SGT,KSGT,SGT
St George Municipal,Medium airport,St George,United States,SGU,KSGU,SGU
Sierra Grande,Small airport,Sierra Grande,Argentina,SGV,SAVS,
Saginaw,Seaplane base,Saginaw Bay,United States,SGW,A23,A23
Songea,Small airport,Songea,Tanzania,SGX,HTSO,
Skagway,Small airport,Skagway,United States,SGY,PAGY,SGY
Songkhla,Medium airport,,Thailand,SGZ,VTSH,
Shanghai Hongqiao International,Large airport,Shanghai,China,SHA,ZSSS,
Nakashibetsu,Medium airport,Nakashibetsu,Japan,SHB,RJCN,
Shire Inda Selassie,Small airport,Shire Indasilase,Ethiopia,SHC,,
Shenandoah Valley Regional,Small airport,Staunton/Waynesboro/Harrisonburg,United States,SHD,KSHD,SHD
Taoxian,Large airport,Shenyang,China,SHE,ZYTX,
Huayuan,Small airport,Shihezi,China,SHF,ZWHZ,
Shungnak,Small airport,Shungnak,United States,SHG,PAGH,SHG
Shishmaref,Medium airport,Shishmaref,United States,SHH,PASH,SHH
Shimojishima,Medium airport,Shimojishima,Japan,SHI,RORS,
Sharjah International,Large airport,Sharjah,United Arab Emirates,SHJ,OMSJ,
Sehonghong,Small airport,Sehonghong,Lesotho,SHK,FXSH,
Shillong,Medium airport,Shillong,India,SHL,VEBI,
Nanki Shirahama,Medium airport,Shirahama,Japan,SHM,RJBD,
Sanderson Field,Small airport,Shelton,United States,SHN,KSHN,SHN
Southport,Small airport,,Australia,SHQ,YSPT,
Sheridan County,Medium airport,Sheridan,United States,SHR,KSHR,SHR
Shashi,Small airport,Shashi,China,SHS,ZHSS,
Shepparton,Medium airport,,Australia,SHT,YSHT,
Smith Point,Small airport,,Australia,SHU,YSMP,
Shreveport Regional,Large airport,Shreveport,United States,SHV,KSHV,SHV
Sharurah,Medium airport,,Saudi Arabia,SHW,OESH,
Shageluk,Small airport,Shageluk,United States,SHX,PAHX,SHX
Shinyanga,Small airport,Shinyanga,Tanzania,SHY,HTSY,
Seshutes,Small airport,Seshutes,Lesotho,SHZ,FXSS,
Xi'an Xiguan,Medium airport,Xi'an,China,SIA,ZLSN,
Sibiti,Small airport,Sibiti,Congo (Brazzaville),SIB,FCBS,
Am?car Cabral International,Medium airport,Espargos,Cape Verde,SID,GVAC,
Sines,Small airport,,Portugal,SIE,LPSI,
Simara,Small airport,Simara,Nepal,SIF,VNSI,
Fernando Luis Ribas Dominicci,Medium airport,San Juan,Puerto Rico,SIG,TJIG,SIG
Silgadi Doti,Small airport,Silgadi Doti,Nepal,SIH,VNDT,
Sidi Ifni Xx,Small airport,Sidi Ifni,Morocco,SII,GMMF,
Siglufj??r,Medium airport,Siglufj??r,Iceland,SIJ,BISI,
Sila,Small airport,Sila Mission,Papua New Guinea,SIL,AYSG,
Simbai,Small airport,Simbai,Papua New Guinea,SIM,AYSJ,
Singapore Changi,Large airport,Singapore,Singapore,SIN,WSSS,
Smithton,Medium airport,,Australia,SIO,YSMI,
Simferopol International,Large airport,Simferopol,Ukraine,SIP,UKFF,
Dabo,Small airport,Pasirkuning-Singkep Island,Indonesia,SIQ,WIDS,
Sion,Medium airport,Sion,Switzerland,SIR,LSGS,
Sishen,Medium airport,Sishen,South Africa,SIS,FASS,
Sitka Rocky Gutierrez,Medium airport,Sitka,United States,SIT,PASI,SIT
Siuna,Small airport,Siuna,Nicaragua,SIU,MNSI,
Sibisa,Small airport,Parapat-Sumatra Island,Indonesia,SIW,WIMP,
Singleton,Small airport,Singleton,Australia,SIX,YSGT,
Siskiyou County잺losed,Closed,Montague,United States,SIY,,
Sissano,Small airport,Sissano,Papua New Guinea,SIZ,AYZN,
San Juan de Marcona,Small airport,San Juan de Marcona,Per?SJA,SPJN,,
San Joaqu?,Small airport,San Joaqu?,Bolivia,SJB,SLJO,
Norman Y. Mineta San Jose International,Large airport,San Jose,United States,SJC,KSJC,SJC
Los Cabos International,Large airport,San Jos?del Cabo,Mexico,SJD,MMSD,
Jorge E. Gonzalez Torres,Medium airport,San Jos?Del Guaviare,Colombia,SJE,SKSJ,
Cruz Bay Seaplane Base잺losed,Closed,Saint John Island,U.S. Virgin Islands,SJF,,
San Pedro Jagua잺losed,Closed,San Pedro Jagua,Colombia,SJG,,
San Juan Del C?ar,Small airport,San Juan Del C?ar,Colombia,SJH,,
San Jose,Medium airport,San Jose,Philippines,SJI,RPUH,
Sarajevo International,Large airport,Sarajevo,Bosnia and Herzegovina,SJJ,LQSA,
Professor Urbano Ernesto Stumpf,Medium airport,S? Jos?Dos Campos,Brazil,SJK,SBSJ,
S? Gabriel da Cachoeira,Medium airport,S? Gabriel Da Cachoeira,Brazil,SJL,SBUA,
San Juan잺losed,Closed,San Juan,Dominican Republic,SJM,MDSJ,
St Johns Industrial Air Park,Small airport,St Johns,United States,SJN,KSJN,SJN
Juan Santamaria International,Medium airport,San Jose,Costa Rica,SJO,MROC,
Prof. Eribelto Manoel Reino State,Medium airport,S? Jos?Do Rio Preto,Brazil,SJP,SBSR,
Sesheke,Small airport,Sesheke,Zambia,SJQ,FLSS,
San Juan De Uraba,Small airport,San Juan De Uraba,Colombia,SJR,,
San Jos?De Chiquitos,Small airport,San Jos?de Chiquitos,Bolivia,SJS,SLJE,
San Angelo Regional Mathis Field,Medium airport,San Angelo,United States,SJT,KSJT,SJT
Luis Munoz Marin International,Large airport,San Juan,Puerto Rico,SJU,TJSJ,SJU
San Javier,Small airport,San Javier,Bolivia,SJV,SLJV,
Shijiazhuang Daguocun International,Medium airport,Shijiazhuang,China,SJW,ZBSJ,
Sartaneja,Medium airport,Sartaneja,Belize,SJX,,
Sein?oki,Medium airport,Sein?oki / Ilmajoki,Finland,SJY,EFSI,
S? Jorge,Medium airport,Velas,Portugal,SJZ,LPSJ,
Fairchild Air Force Base,Large airport,Spokane,United States,SKA,KSKA,SKA
Robert L. Bradshaw International,Medium airport,Basseterre,Saint Kitts and Nevis,SKB,TKPK,
Suki,Small airport,Suki,Papua New Guinea,SKC,AYSU,
Samarkand,Medium airport,Samarkand,Uzbekistan,SKD,UTSS,
Skien,Medium airport,Geiteryggen,Norway,SKE,ENSN,
Lackland Air Force Base,Medium airport,San Antonio,United States,SKF,KSKF,SKF
Thessaloniki Macedonia International,Large airport,Thessaloniki,Greece,SKG,LGTS,
Surkhet,Small airport,Surkhet,Nepal,SKH,VNSK,
Skikda잺losed,Closed,Skikda,Algeria,SKI,DABP,
Sitkinak잺losed,Closed,Sitkinak Island,United States,SKJ,,
Shaktoolik,Small airport,Shaktoolik,United States,SKK,PFSH,2C7
Broadford Airstrip,Small airport,Ashaig,United Kingdom,SKL,EGEI,
Skeldon,Small airport,Skeldon,Guyana,SKM,SYSK,
Stokmarknes Skagen,Medium airport,Hadsel,Norway,SKN,ENSK,
Sadiq Abubakar III International,Medium airport,Sokoto,Nigeria,SKO,DNSO,
Skopje Alexander the Great,Medium airport,Skopje,North Macedonia,SKP,LWSK,
Sekakes,Small airport,Sekakes,Lesotho,SKQ,FXSK,
Shakiso,Small airport,Shakiso,Ethiopia,SKR,HASK,
Skrydstrup Air Base,Medium airport,Vojens,Denmark,SKS,EKSP,
Sialkot,Large airport,Sialkot,Pakistan,SKT,OPST,
Skiros,Small airport,Skiros Island,Greece,SKU,LGSY,
St Catherine International,Medium airport,,Egypt,SKV,HESC,
Saransk,Medium airport,Saransk,Russia,SKX,UWPS,
Griffing Sandusky잺losed,Closed,Sandusky,United States,SKY,,
Sukkur,Medium airport,Mirpur Khas,Pakistan,SKZ,OPSK,
Martin Miguel De Guemes International,Medium airport,Salta,Argentina,SLA,SASA,
Storm Lake Municipal,Small airport,Storm Lake,United States,SLB,KSLB,SLB
Salt Lake City International,Large airport,Salt Lake City,United States,SLC,KSLC,SLC
Slia?,Medium airport,Slia?,Slovakia,SLD,LZSL,
Salem Municipal/McNary Field,Medium airport,Salem,United States,SLE,KSLE,
Sulayel,Small airport,,Saudi Arabia,SLF,OESL,
Smith Field잺losed,Closed,Siloam Springs,United States,SLG,,
Sola,Small airport,Sola,Vanuatu,SLH,NVSC,
Solwesi,Small airport,Solwesi,Zambia,SLI,FLSW,
Solomon Aerodrome잺losed,Closed,,United States,SLJ,,
Adirondack Regional,Medium airport,Saranac Lake,United States,SLK,KSLK,SLK
Salalah,Medium airport,Salalah,Oman,SLL,OOSA,
Salamanca,Medium airport,Salamanca,Spain,SLM,LESA,
Salina Municipal,Medium airport,Salina,United States,SLN,KSLN,SLN
Salem Leckrone잺losed,Closed,Salem,United States,SLO,,
Salem Leckrone,Small airport,Salem,United States,SLO,KSLO,SLO
Ponciano Arriaga International,Medium airport,San Luis Potos?Mexico,SLP,MMSP,,
Sleetmute,Small airport,Sleetmute,United States,SLQ,PASL,SLQ
Sulphur Springs Municipal,Small airport,Sulphur Springs,United States,SLR,KSLR,SLR
Silistra Polkovnik Lambrinovo Airfield,Small airport,Silistra,Bulgaria,SLS,LBSS,
Harriet Alexander Field,Small airport,Salida,United States,SLT,KANK,ANK
George F. L. Charles,Medium airport,Castries,Saint Lucia,SLU,TLPC,
Shimla,Small airport,,India,SLV,VISM,
Plan De Guadalupe International,Medium airport,Saltillo,Mexico,SLW,MMIO,
Salt Cay,Small airport,Salt Cay,Turks and Caicos Islands,SLX,MBSY,
Salekhard,Medium airport,Salekhard,Russia,SLY,USDD,
Marechal Cunha Machado International,Medium airport,S? Lu?,Brazil,SLZ,SBSL,
Santa Maria,Medium airport,Vila do Porto,Portugal,SMA,LPAZ,
Franco Bianco,Small airport,Cerro Sombrero,Chile,SMB,SCSB,
Santa Maria잺losed,Closed,Santa Maria,Colombia,SMC,,
Lake Cumberland Regional,Medium airport,Somerset,United States,SME,KSME,SME
Sacramento International,Large airport,Sacramento,United States,SMF,KSMF,SMF
Santa Maria,Small airport,Santa Mar?,Per?SMG,SPMR,,
Sapmanga,Small airport,Sapmanga,Papua New Guinea,SMH,AYSP,
Samos,Medium airport,Samos Island,Greece,SMI,LGSM,
Sim,Small airport,Sim,Papua New Guinea,SMJ,AYXI,
St Michael,Small airport,St Michael,United States,SMK,PAMK,SMK
Stella Maris,Medium airport,Stella Maris,Bahamas,SML,MYLS,
Semporna,Small airport,Semporna,Malaysia,SMM,WBKA,
Lemhi County,Medium airport,Salmon,United States,SMN,KSMN,SMN
Santa Monica Municipal,Small airport,Santa Monica,United States,SMO,KSMO,SMO
Stockholm잺losed,Closed,Stockholm,Papua New Guinea,SMP,,
Sampit(Hasan),Small airport,Sampit-Borneo Island,Indonesia,SMQ,WAOS,
Sim? Bol?ar International,Medium airport,Santa Marta,Colombia,SMR,SKSM,
Sainte Marie,Medium airport,,Madagascar,SMS,FMMS,
Adolino Bedin Regional잺losed,Closed,Sorriso,Taiwan,SMT,,
Sheep Mountain,Small airport,Sheep Mountain,United States,SMU,PASP,SMU
Samedan,Medium airport,,Switzerland,SMV,LSZS,
Smara,Medium airport,Smara,Western Sahara,SMW,GMMA,
Santa Maria Pub/Capt G Allan Hancock Field,Medium airport,Santa Maria,United States,SMX,KSMX,SMX
Simenti,Small airport,Simenti,Senegal,SMY,GOTS,
Stoelmanseiland,Small airport,Stoelmanseiland,Suriname,SMZ,SMST,
John Wayne-Orange County,Large airport,Santa Ana,United States,SNA,KSNA,SNA
Snake Bay,Medium airport,,Australia,SNB,YSNB,
General Ulpiano Paez,Medium airport,Salinas,Ecuador,SNC,SESA,
Seno잺losed,Closed,Seno,Laos,SND,,
Pregui?,Medium airport,Pregui?,Cape Verde,SNE,GVSN,
Sub Teniente Nestor Arias,Medium airport,San Felipe,Venezuela,SNF,SVSP,
Capit? Av. Juan Cochamanidis S.,Small airport,San Ignacio de Velasco,Bolivia,SNG,SLSI,
Stanthorpe,Small airport,,Australia,SNH,YSPE,
Greenville Sinoe,Small airport,Greenville,Liberia,SNI,GLGE,
San Julian Air Base,Medium airport,Pinar Del Rio,Cuba,SNJ,MUSJ,
Winston Field잺losed,Closed,Snyder,United States,SNK,,
Shawnee Regional,Small airport,Shawnee,United States,SNL,KSNL,SNL
San Ignacio de Moxos,Small airport,San Ignacio de Moxos,Bolivia,SNM,SLSM,
San Ignacio de Moxos잺losed,Closed,San Ignacio de Moxos,Bolivia,SNM,SLSM,
Shannon,Large airport,Limerick,Ireland,SNN,EINN,
Sakon Nakhon,Medium airport,,Thailand,SNO,VTUI,
St Paul Island,Medium airport,St Paul Island,United States,SNP,PASN,SNP
San Quint? Military Airstrip,Small airport,Military Camp Number 2-D,Mexico,SNQ,,
Saint-Nazaire-Montoir,Medium airport,Saint-Nazaire/Montoir,France,SNR,LFRZ,
Salinas Municipal,Medium airport,Salinas,United States,SNS,KSNS,SNS
Las Cruces,Small airport,Sabana De Torres,Colombia,SNT,,
Abel Santamaria,Medium airport,Santa Clara,Cuba,SNU,MUSC,
Santa Elena de Uairen,Medium airport,,Venezuela,SNV,SVSE,
Thandwe,Medium airport,Thandwe,Burma,SNW,VYTD,
Sidney Municipal-Lloyd W Carr Field,Medium airport,Sidney,United States,SNY,KSNY,SNY
Santa Cruz Air Force Base,Medium airport,Rio de Janeiro,Brazil,SNZ,SBSC,
S? Tr?ng잺losed,Closed,S? Tr?ng,Vietnam,SOA,,
S?mell? International,Medium airport,S?mell?,Hungary,SOB,LHSM,
Adi Sumarmo Wiryokusumo,Small airport,Sukarata(Solo)-Java Island,Indonesia,SOC,WARQ,
Sorocaba,Small airport,Sorocaba,Brazil,SOD,SDCO,
Souanke,Small airport,Souanke,Congo (Brazzaville),SOE,FCOS,
Sofia,Large airport,Sofia,Bulgaria,SOF,LBSF,
Sogndal,Small airport,Sogndal,Norway,SOG,ENSG,
Solita잺losed,Closed,Solita,Colombia,SOH,,
South Molle Island Helipad잺losed,Closed,South Molle Island Resort,Australia,SOI,,
S?kjosen,Medium airport,S?kjosen,Norway,SOJ,ENSR,
Semonkong,Small airport,Semonkong,Lesotho,SOK,FXSM,
Solomon State Field,Small airport,Solomon,United States,SOL,AK26,AK26
San Tom?Medium airport,El Tigre,Venezuela,SOM,SVST,,
Santo Pekoa International,Medium airport,Luganville,Vanuatu,SON,NVSS,
S?erhamn,Medium airport,S?erhamn,Sweden,SOO,ESNY,
Moore County,Small airport,Pinehurst/Southern Pines,United States,SOP,KSOP,SOP
Al Thaurah잺losed,Closed,Al Thaurah,Syria,SOR,,
Sodankyla,Medium airport,Sodankyla,Finland,SOT,EFSO,
Southampton,Large airport,Southampton,United Kingdom,SOU,EGHI,
Seldovia,Small airport,Seldovia,United States,SOV,PASO,SOV
Show Low Regional,Small airport,Show Low,United States,SOW,KSOW,SOW
Alberto Lleras Camargo,Small airport,Sogamoso,Colombia,SOX,SKSO,
Stronsay,Small airport,Stronsay,United Kingdom,SOY,EGER,
Solenzara (BA 126) Air Base,Medium airport,Solenzara,France,SOZ,LFKS,
Spartanburg Downtown Memorial,Small airport,Spartanburg,United States,SPA,KSPA,SPA
Charlotte Amalie Harbor,Seaplane base,Charlotte Amalie St Thomas,U.S. Virgin Islands,SPB,VI22,VI22
La Palma,Medium airport,"Sta Cruz de la Palma, La Palma Island",Spain,SPC,GCLA,
Saidpur,Medium airport,Saidpur,Bangladesh,SPD,VGSD,
Sepulot,Small airport,Sepulot,Malaysia,SPE,WBKO,
Black Hills-Clyde Ice Field잺losed,Closed,Spearfish,United States,SPF,,
Albert Whitted잺losed,Closed,"St Petersburg, FL",United States,SPG,,
Sopu,Small airport,Sopu,Papua New Guinea,SPH,AYQO,
Abraham Lincoln Capital,Large airport,Springfield,United States,SPI,KSPI,SPI
Sparti,Small airport,Sparti,Greece,SPJ,LGSP,
Chitose Air Base,Medium airport,,Japan,SPK,RJCJ,
Spangdahlem Air Base,Medium airport,Trier,Germany,SPM,ETAD,
Saipan International,Medium airport,Saipan Island,Northern Mariana Islands,SPN,PGSN,GSN
Menongue,Medium airport,Menongue,Angola,SPP,FNME,
Catalina Air-Sea Terminal,Heliport,San Pedro,United States,SPQ,6CA3,6CA3
San Pedro,Medium airport,San Pedro,Belize,SPR,,
Sheppard Air Force Base-Wichita Falls Municipal,Large airport,Wichita Falls,United States,SPS,KSPS,SPS
Sipitang,Small airport,Sipitang,Malaysia,SPT,,
Split,Medium airport,Split,Croatia,SPU,LDSP,
Sepik Plains잺losed,Closed,Sepik Plains,Papua New Guinea,SPV,,
Spencer Municipal,Small airport,Spencer,United States,SPW,KSPW,SPW
San Pedro,Medium airport,,C?e d'Ivoire,SPY,DISP,
Springdale Municipal,Small airport,Springdale,United States,SPZ,KASG,ASG
Santa Ynez,Small airport,Santa Ynez,United States,SQA,KIZA,IZA
Southern Cross,Small airport,,Australia,SQC,YSCR,
San Luis De Palenque,Small airport,San Luis De Palenque,Colombia,SQE,,
Solano잺losed,Closed,Solano,Colombia,SQF,,
Sintang(Susilo),Medium airport,Sintang-Borneo Island,Indonesia,SQG,WIOS,
Na-San,Small airport,Son-La,Vietnam,SQH,VVNS,
Whiteside County-Joseph H Bittorf Field,Small airport,Sterling/Rockfalls,United States,SQI,KSQI,SQI
Shaxian,Medium airport,Sanming,China,SQJ,ZSSM,
Sidi Barrani잺losed,Closed,Sidi Barrani,Egypt,SQK,,
S? Miguel do Araguaia,Small airport,S? Miguel Do Araguaia,Brazil,SQM,SWUA,
Emalamo Sanana,Small airport,Sanana-Seram Island,Indonesia,SQN,WAPN,
Storuman,Medium airport,,Sweden,SQO,ESUD,
Starcke잺losed,Closed,Starcke,Australia,SQP,,
둰auliai International,Medium airport,둰auliai,Lithuania,SQQ,EYSA,
Soroako,Small airport,Soroako-Celebes Island,Indonesia,SQR,WAWS,
Matthew Spain잺losed,Closed,San Ignacio,Belize,SQS,,
China Strait Airstrip,Small airport,Samarai Island,Papua New Guinea,SQT,AYCS,
Saposoa,Small airport,Plaza Saposoa,Per?SQU,SPOA,,
Sequim Valley잺losed,Closed,Sequim,United States,SQV,,
Skive,Medium airport,Skive,Denmark,SQW,EKSV,
S? Miguel do Oeste,Small airport,S? Miguel Do Oeste,Brazil,SQX,SSOE,
S? Louren? do Sul,Small airport,S? Louren? Do Sul,Brazil,SQY,SSRU,
RAF Scampton,Medium airport,Scampton,United Kingdom,SQZ,EGXP,
Santa Rosa,Small airport,Santa Rosa,Brazil,SRA,SSZR,
Santa Rosa De Yacuma,Small airport,Santa Rosa,Bolivia,SRB,SLSR,
Searcy잺losed,Closed,Searcy,United States,SRC,,
San Ram?,Small airport,San Ram? / Mamor?Bolivia,SRD,SLRA,,
Hamilton Field잺losed,Closed,San Rafael,United States,SRF,,
Achmad Yani,Small airport,Semarang-Java Island,Indonesia,SRG,WAHS,
Sarh,Small airport,Sarh,Chad,SRH,FTTA,
Temindung,Medium airport,Samarinda,Indonesia,SRI,WALS,
Capit? Av. German Quiroga G.,Small airport,San Borja,Bolivia,SRJ,SLSB,
Sierra Leone잺losed,Closed,Sierra Leone,Sierra Leone,SRK,,
Palo Verde잺losed,Closed,Santa Rosalia,Mexico,SRL,,
Sandringham잺losed,Closed,Sandringham Station,Australia,SRM,,
Strahan,Small airport,,Australia,SRN,YSRN,
Santana Ramos,Small airport,Santana Ramos,Colombia,SRO,,
Stord,Medium airport,Leirvik,Norway,SRP,ENSO,
Sarasota Bradenton International,Large airport,Sarasota/Bradenton,United States,SRQ,KSRQ,SRQ
Dunwich,Small airport,Stradbroke Island,Australia,SRR,YDUN,
San Marcos,Small airport,San Marcos,Colombia,SRS,SKSR,
Soroti,Medium airport,Soroti,Uganda,SRT,HUSO,
Stony River 2,Small airport,Stony River,United States,SRV,SRV,SRV
Mid-Carolina Regional,Small airport,Salisbury,United States,SRW,KRUQ,RUQ
Gardabya,Medium airport,Sirt,Libya,SRX,HLGD,
Dasht-e Naz,Medium airport,Sari,Iran,SRY,OINZ,
El Trompillo,Medium airport,Santa Cruz,Bolivia,SRZ,SLET,
Deputado Luiz Eduardo Magalh?s International,Large airport,Salvador,Brazil,SSA,SBSV,
Christiansted Harbor,Seaplane base,Christiansted St Croix,U.S. Virgin Islands,SSB,VI32,VI32
Shaw Air Force Base,Large airport,Sumter,United States,SSC,KSSC,SSC
V?tor Laf?,Small airport,San Felipe,Chile,SSD,SCSF,
Solapur,Medium airport,Solapur,India,SSE,VASL,
Stinson Municipal,Medium airport,San Antonio,United States,SSF,KSSF,SSF
Malabo,Medium airport,Malabo,Equatorial Guinea,SSG,FGSL,
Sharm El Sheikh International,Medium airport,Sharm el-Sheikh,Egypt,SSH,HESH,
Malcolm McKinnon,Medium airport,Brunswick,United States,SSI,KSSI,SSI
Sandnessj?n (Stokka),Medium airport,Alstahaug,Norway,SSJ,ENST,
Sturt Creek,Small airport,Sturt Creek,Australia,SSK,,
Santa Rosalia,Small airport,Santa Rosalia,Colombia,SSL,SKSL,
Seoul Air Base (K-16),Medium airport,Simgok-dong,South Korea,SSN,RKSM,
S? Louren?,Small airport,S? Louren?,Brazil,SSO,SNLO,
Silver Plains,Small airport,Silver Plains,Australia,SSP,YSVP,
La Sarre,Small airport,La Sarre,Canada,SSQ,CSR8,
Sara,Small airport,Pentecost Island,Vanuatu,SSR,NVSH,
Siassi잺losed,Closed,Siassi,Papua New Guinea,SSS,,
Santa Teresita,Medium airport,Santa Teresita,Argentina,SST,SAZL,
Greenbrier잺losed,Closed,White Sulphur Springs,United States,SSU,,
Siasi잺losed,Closed,Siasi Island,Philippines,SSV,,
Stuart Island Airpark,Small airport,Stuart Island,United States,SSW,7WA5,7WA5
Samsun Samair,Small airport,Samsun,Turkey,SSX,LTAQ,
Mbanza Congo,Medium airport,Mbanza Congo,Angola,SSY,FNBC,
Base A?ea de Santos,Medium airport,Guaruj?Brazil,SSZ,SBST,,
Stauning,Medium airport,Skjern / Ringk?ing,Denmark,STA,EKVJ,
Santa B?bara del Zulia,Medium airport,,Venezuela,STB,SVSZ,
St Cloud Regional,Medium airport,St Cloud,United States,STC,KSTC,STC
Mayor Buenaventura Vivas International,Medium airport,Santo Domingo,Venezuela,STD,SVSO,
Stevens Point Municipal,Small airport,Stevens Point,United States,STE,KSTE,STE
Stephens Island,Seaplane base,Stephens Island,Australia,STF,YSTI,
St George,Medium airport,St George,United States,STG,PAPB,PBV
Strathmore,Small airport,,Australia,STH,YSMR,
Cibao International,Medium airport,Santiago,Dominican Republic,STI,MDST,
Rosecrans Memorial,Medium airport,St Joseph,United States,STJ,KSTJ,STJ
Sterling Municipal,Small airport,Sterling,United States,STK,KSTK,STK
St Louis Lambert International,Large airport,St Louis,United States,STL,KSTL,STL
